num_ciclo	spostamento	AnalogInput0	error_status
1	-800	13	0
1	-1600	17	0
1	-2400	19	0
1	-3200	23	0
1	-4000	26	0
1	-4800	30	0
1	-5600	33	0
1	-6400	36	0
1	-7200	40	0
1	-8000	43	0
1	-8800	46	0
1	-9600	50	0
1	-10400	53	0
1	-11200	56	0
1	-12000	59	0
1	-12800	62	0
1	-13600	65	0
1	-14400	69	0
1	-15200	72	0
1	-16000	75	0
1	-16800	78	0
1	-17600	82	0
1	-18400	85	0
1	-19200	88	0
1	-20000	91	0
1	-20800	95	0
1	-21600	97	0
1	-22400	100	0
1	-23200	104	0
1	-24000	106	0
1	-24800	110	0
1	-25600	113	0
1	-26400	117	0
1	-27200	120	0
1	-28000	123	0
1	-28800	126	0
1	-29600	130	0
1	-30400	133	0
1	-31200	136	0
1	-32000	140	0
1	-32800	143	0
1	-33600	147	0
1	-34400	150	0
1	-35200	154	0
1	-36000	156	0
1	-36800	159	0
1	-37600	162	0
1	-38400	166	0
1	-39200	170	0
1	-40000	173	0
1	-40800	176	0
1	-41600	179	0
1	-42400	182	0
1	-43200	185	0
1	-44000	189	0
1	-44800	191	0
1	-45600	195	0
1	-46400	198	0
1	-47200	202	0
1	-48000	204	0
1	-48800	208	0
1	-49600	211	0
1	-50400	214	0
1	-51200	217	0
1	-52000	220	0
1	-52800	224	0
1	-53600	227	0
1	-54400	230	0
1	-55200	234	0
1	-56000	237	0
1	-56800	240	0
1	-57600	244	0
1	-58400	247	0
1	-59200	250	0
1	-60000	253	0
1	-60800	257	0
1	-61600	260	0
1	-62400	263	0
1	-63200	266	0
1	-64000	270	0
1	-64800	273	0
1	-65600	276	0
1	-66400	279	0
1	-67200	282	0
1	-68000	285	0
1	-68800	288	0
1	-69600	291	0
1	-70400	295	0
1	-71200	298	0
1	-72000	301	0
1	-72800	305	0
1	-73600	308	0
1	-74400	311	0
1	-75200	314	0
1	-76000	317	0
1	-76800	321	0
1	-77600	323	0
1	-78400	327	0
1	-79200	331	0
1	-80000	334	0
1	-80800	337	0
1	-81600	340	0
1	-82400	343	0
1	-83200	346	0
1	-84000	349	0
1	-84800	353	0
1	-85600	356	0
1	-86400	360	0
1	-87200	363	0
1	-88000	365	0
1	-88800	369	0
1	-89600	372	0
1	-90400	375	0
1	-91200	378	0
1	-92000	382	0
1	-92800	385	0
1	-93600	388	0
1	-94400	391	0
1	-95200	394	0
1	-96000	397	0
1	-96800	400	0
1	-97600	403	0
1	-98400	406	0
1	-99200	410	0
1	-100000	413	0
1	-100800	416	0
1	-101600	419	0
1	-102400	423	0
1	-103200	426	0
1	-104000	430	0
1	-104800	433	0
1	-105600	436	0
1	-106400	439	0
1	-107200	442	0
1	-108000	445	0
1	-108800	448	0
1	-109600	452	0
1	-110400	456	0
1	-111200	458	0
1	-112000	462	0
1	-112800	464	0
1	-113600	468	0
1	-114400	471	0
1	-115200	474	0
1	-116000	477	0
1	-116800	481	0
1	-117600	484	0
1	-118400	487	0
1	-119200	491	0
1	-120000	493	0
1	-120800	496	0
1	-121600	500	0
1	-122400	503	0
1	-123200	505	0
1	-124000	509	0
1	-124800	512	0
1	-125600	515	0
1	-126400	518	0
1	-127200	522	0
1	-128000	525	0
1	-128800	529	0
1	-129600	532	0
1	-130400	534	0
1	-131200	538	0
1	-132000	541	0
1	-132800	544	0
1	-133600	548	0
1	-134400	550	0
1	-135200	554	0
1	-136000	557	0
1	-136800	561	0
1	-137600	564	0
1	-138400	567	0
1	-139200	570	0
1	-140000	574	0
1	-140800	576	0
1	-141600	580	0
1	-142400	582	0
1	-143200	586	0
1	-144000	589	0
1	-144800	593	0
1	-145600	595	0
1	-146400	599	0
1	-147200	601	0
1	-148000	605	0
1	-148800	608	0
1	-149600	611	0
1	-150400	614	0
1	-151200	617	0
1	-152000	621	0
1	-152800	624	0
1	-153600	627	0
1	-154400	631	0
1	-155200	634	0
1	-156000	637	0
1	-156800	640	0
1	-157600	643	0
1	-158400	646	0
1	-159200	649	0
1	-160000	653	0
1	-160800	656	0
1	-161600	659	0
1	-162400	663	0
1	-163200	666	0
1	-164000	669	0
1	-164800	672	0
1	-165600	677	0
1	-166400	679	0
1	-167200	683	0
1	-168000	686	0
1	-168800	689	0
1	-169600	692	0
1	-170400	696	0
1	-171200	699	0
1	-172000	701	0
1	-172800	705	0
1	-173600	708	0
1	-174400	711	0
1	-175200	715	0
1	-176000	718	0
1	-176800	721	0
1	-177600	724	0
1	-178400	727	0
1	-179200	730	0
1	-180000	734	0
1	-180800	737	0
1	-181600	740	0
1	-182400	744	0
1	-183200	747	0
1	-184000	750	0
1	-184800	753	0
1	-185600	756	0
1	-186400	760	0
1	-187200	763	0
1	-188000	767	0
1	-188800	770	0
1	-189600	773	0
1	-190400	776	0
1	-191200	780	0
1	-192000	783	0
1	-192800	786	0
1	-193600	790	0
1	-194400	793	0
1	-195200	796	0
1	-196000	799	0
1	-196800	802	0
1	-197600	806	0
1	-198400	809	0
1	-199200	812	0
1	-200000	815	0
1	-200800	818	0
1	-201600	821	0
1	-202400	825	0
1	-203200	828	0
1	-204000	831	0
1	-204800	834	0
1	-205600	838	0
1	-206400	841	0
1	-207200	844	0
1	-208000	848	0
1	-208800	851	0
1	-209600	854	0
1	-210400	858	0
1	-211200	861	0
1	-212000	864	0
1	-212800	867	0
1	-213600	871	0
